workday_id,idp_table,rescinded_moment
df976adcdd52546ad37fe9ed38a8e192,INT095E,2023-01-26T08:59:40
80f2f7b2e08c251b5721ceb9bb12a0ab,INT098,2022-02-15T10:53:12
c36a9a7ccaada7c008a980c1f635eb7a,INT095E,2020-02-02T14:48:12
4287f56b40074e63d22daf2f47bd15db,INT095E,2026-02-09T12:02:12
373e91488ecbf5047f85f92eaccb015a,INT096,2019-03-11T11:20:22
357d2d6d98b3825b8af686ceca1ff428,INT096,2026-01-26T13:36:43
dbf905d7f950ed20a1dd87417daa7707,INT098,2018-02-14T17:59:56
9dd4aa4e188cfc1172a8fae7354e552a,INT098,2021-11-05T08:01:44
df66db6551674e121e0c7ab7f9bd376c,INT096,2021-09-29T12:46:27
56f4c2cdf91a8ce67b03587f55594830,INT098,2022-02-02T11:27:38
23a63beef45a47c5b2436767f1bcec54,INT098,2022-07-18T14:30:53
ed7a09e2c0da6e9d0b30dc36b75069f2,INT098,2024-02-28T12:33:35
457d3ff1d4ef23ba95bc7086514d605b,INT095E,2017-01-28T17:21:39
5e5b4fbe33242c11ac9f7afb76897d56,INT096,2021-03-19T15:26:52
d1af75865aa3ae766664ea6ec31c5846,INT098,2025-05-01T12:43:13
0ca9850dd44716556f51f769b48cf0e0,INT098,2021-12-29T12:15:43
13ec615b788a7bf37856b74a2cac795d,INT098,2022-06-17T11:46:03
a493d75d96d7e396868985cdea7f82f1,INT095E,2018-07-27T15:35:42
703b82630aaf4c355231ca5553f9debb,INT095E,2020-11-25T09:09:43
0f465c16e4eabdf1d5984f66e5550856,INT098,2025-09-12T14:04:32
cbee2f4b0736bb1422946fe1b13f4cb4,INT095E,2024-03-07T16:05:50
7854e79c40ad5474fd2d7247053f384e,INT098,2022-02-12T15:51:48
4f3158fcbb414b26c2219f7f587561ea,INT095E,2024-01-06T17:09:58
386e95791102597789249460c4b50e54,INT098,2021-10-24T16:16:57
4d6fda8f7e8ec324531b2e7976ca88ff,INT098,2018-05-14T11:38:48
1aa56319dcb414dab6b79a0d23c1e780,INT098,2017-04-19T15:12:46
353dcd09bce26e09fbff128ced5f7999,INT095E,2022-02-05T10:32:57
6269723a9b44742d8b9fd0045ab4126d,INT098,2020-03-28T16:51:14
791e6896a4b9588cfb425dd755921957,INT098,2023-02-09T12:49:25
81adfd0194b2ac829ac8dd5ddb47fe88,INT095E,2026-02-01T17:28:26
cd09af667bc611b2a2c01878e1d7930b,INT096,2021-03-15T10:42:40
e84997763ac8a804e96410243c8be3c0,INT095E,2026-01-13T13:43:14
42fdf6d7850cbc09f520b6ec93e8d7b8,INT098,2017-07-30T16:55:14
9959a0bfdf7f4dd6ed21526601f4150e,INT096,2022-02-22T17:12:05
b9af5ec6dc636a6a69fe2f1944eb9f6f,INT096,2023-02-27T12:56:20
d1f35fa2c9109d3c23c471fc44ebf1a7,INT098,2026-01-10T10:03:50
472a7c007670534ed7dc5cf9615b2d7d,INT095E,2020-10-22T09:23:25
3b78228e0a05ad2f71514beeb386e4e1,INT095E,2020-06-08T08:20:54
f57a03b496d660bf8c8f170b7474dd87,INT095E,2025-01-07T13:31:41
1a373bd094916f7571d0f40c0e764118,INT096,2025-01-16T16:09:29
3f7a83a51f160ca6dd8a440596a75bc3,INT098,2025-03-01T10:19:34
57e3fd1f0c43ab43e1f4de8c73022ceb,INT098,2020-09-10T08:41:32
cf55e76663bbaeca9c04db43dc7d172c,INT095E,2025-01-04T11:30:51
c678d484fc6e4d2f23c1557bdda37a61,INT095E,2021-03-08T11:18:24
d4cc63825fede84d0e5f9d0c80e359d1,INT096,2020-04-20T17:00:07
0fe4195d71ea5c967cf875cdce1f2cfa,INT095E,2022-12-16T09:54:36
50f548889c65ac042038d4bcd03d3836,INT098,2020-01-15T15:42:29
4711625851020e2b313c3d6dd9cd9109,INT096,2024-09-08T14:30:37
5192fcc9a0b0c92b94825f7f8b0e05bf,INT098,2023-05-11T11:43:27
7cf9d45bd1bffd51a76c97ae3898b53a,INT096,2024-01-03T16:33:36
454783b9419a0415347f9b0abc1697f9,INT095E,2020-01-25T15:38:40
1920355c0d31c238d8596501d08099a4,INT096,2023-10-21T11:15:40
7e27f36f35ce961787dbe0f4a00a42a7,INT095E,2021-01-19T16:33:44
d8ff42acc5021c64a42f8dc75b2fb9b9,INT096,2018-02-19T12:15:57
b1aa6e4c1aa24e77d1a4981787a84d99,INT095E,2023-10-07T12:50:53
c262565e88fd0ff557b7a4d02f4380c5,INT095E,2026-01-06T11:27:59
747fa826dd67655a7a9130caf80e37df,INT098,2022-02-05T09:53:35
44863a2e80579d4b532c91491b39e6b5,INT098,2019-02-11T14:18:18
c043a45482772081be044a8abdd2dbb4,INT096,2020-01-05T12:42:16
bf034a01e898937c4b4802fbd7c2a652,INT096,2024-08-23T16:58:21
a18d32d692c5c608d785f2ad71b2d58f,INT096,2022-01-24T09:28:26
c9ee67fa605cf105f81ed3c02ec1a010,INT095E,2022-01-16T08:25:39
6d670fe3222b79b6f770941bb3f54ec9,INT095E,2023-11-15T11:12:23
531383ddd24e8ae79cf51a147d593fe3,INT095E,2023-02-16T17:22:48
fe3f0cdfc36f0186088e20dcfb658774,INT098,2021-02-28T11:19:26
ade5911e5d77f53db4cb618d4166a4a4,INT098,2020-04-17T12:30:31
94181053c35d2f4d8d0acf71ebb4dfa7,INT096,2025-05-12T14:49:39
5ef2fea7798b3f48bf5902d42fe6aa75,INT095E,2021-08-02T10:40:29
9a04db3f8fe0d642e544ccb69ba2fb94,INT095E,2023-03-20T16:55:29
1300932b6894226eea840f31ff5f70ee,INT098,2025-05-10T14:45:38
190ca5b1c82fb837397dc79ecf15e629,INT095E,2023-02-13T17:54:16
48712dbf41386b80146048e3e0535fe8,INT098,2020-11-11T14:55:51
2dd5b421903f99ff980bfbd1183ac98c,INT098,2023-12-15T15:18:32
1a8206b7f3885c106ccbc42a4d47c723,INT095E,2022-09-03T09:11:53
c41fc7d29304c3bc52a07d97124da4f1,INT095E,2024-01-29T11:23:13
048fa247b32b6c748f413a0551c2febb,INT098,2023-03-04T11:28:14
781cf6a67bbeef0f1002c0baeee8fd25,INT096,2024-10-04T17:27:04
66e1cedcb248b77186a40b12004e9cb7,INT095E,2025-02-13T14:14:26
cf8e2518774a791eb845da1643eb9795,INT095E,2023-01-16T13:43:46
6d61bc0eb98decd1faf10d53993b33ac,INT095E,2024-02-15T17:41:25
974b3635fdc6cce73c7f1663e27a11bb,INT095E,2024-03-11T11:06:59
7f672bde858bf589d94365278f5967a2,INT095E,2024-04-03T12:21:17
47545e8a2deca3b1f23eefafbafc84fd,INT095E,2022-12-09T12:12:25
ae5f1a740ed391198d53e71f8da8197b,INT096,2023-08-06T14:52:48
b8aa937ac8287b75745fd3bd28fa483a,INT098,2022-11-17T10:18:15
307438221677c6f14c4c5938ebd5a095,INT098,2019-02-26T15:04:11
af6ad1f7509ece7d29f06919a9a4c09a,INT096,2019-03-05T08:34:44
256bb5770a244b05b819c9252c772442,INT095E,2017-01-19T12:38:00
8ccea9e70d1b1ab91b0975380f3e9bac,INT095E,2022-01-20T13:50:08
bb913b74cee9acfa44b6ccdd85c5923f,INT095E,2024-12-02T11:21:50
e303a308c15e5545faedba48ba0b9a95,INT098,2022-07-28T10:31:28
c0ffa9b87f83994223d92b0224bab4c4,INT096,2021-02-22T08:29:01
5f5ac76c9fd0fe959fe2899f5b2d072a,INT096,2021-12-25T10:08:34
4a2645e4b3cf131be5536ed50cf0141b,INT095E,2021-02-27T15:12:59
644a6ac882c14c5fb5a23cd8099a3932,INT095E,2020-12-22T17:37:20
7e28ed006f6274b4b42007d260c84c4a,INT098,2026-01-31T16:31:07
8cb90d558f58e799711a7cc03aba501d,INT096,2021-08-06T15:48:17
55aaedd76c8b00964e4444fb51a569e2,INT096,2021-07-19T15:07:22
1ec9f4eca7037936a624d7d9d9f36557,INT095E,2023-01-06T11:46:44
e1531eab1a7e6811c07e71331fa93aac,INT098,2023-11-29T11:55:34
582b5b0ebfa6203b8ce667d7f0683b8e,INT098,2019-12-17T15:04:46
3577cf10f8a83068006fae7372be1599,INT096,2024-09-21T15:08:46
db28852f1569a2a29a9539ab9cc4413b,INT096,2018-02-12T17:59:54
16385e8a5f876fb8b9c3037692c535ab,INT096,2024-02-20T13:43:54
a83318a80661f644224afa814ecd9207,INT098,2018-03-18T10:29:00
49d1a77b125f0ed22e2b9ca77f462dbe,INT096,2020-01-21T08:18:18
f396d4236ca03485bb36d6add691be17,INT098,2020-02-06T11:06:04
73f7092a4381750e1d6a43e7dde11e48,INT098,2021-12-05T16:14:36
51a67a0d9dbf83cbc9bd6ba03b3169c0,INT098,2025-03-12T12:01:00
21473874e6aeea9faddacc1f841da4ed,INT096,2022-07-20T17:48:49
bd51e1009c69b6faed503cb41cc47a2c,INT096,2019-07-16T09:44:36
763984f0558e022fb28dd5bcda2f3eda,INT095E,2019-03-05T12:57:26
5988722136396e58b1e37e230b6a62cb,INT096,2025-02-14T16:36:07
0a10e4be7975d226a0b8790e6c2f7687,INT098,2025-01-07T08:21:41
a419a0c57bb0cdc9598db13f49577f31,INT096,2025-09-17T13:17:21
d12550fec0d53c576119826b0c79f8ad,INT095E,2020-12-17T10:07:11
3837751100b98f0fb5c51dcfdbaf7181,INT098,2025-03-18T14:58:59
ad072cd775f5d6b4125f8106f124f6ed,INT098,2022-10-19T17:25:05
465fb1c2d49dcad605ae2f8c1fb18772,INT096,2018-09-06T11:55:01
2ebfa4e5da4aeee26e660abd62f649e2,INT095E,2018-02-24T10:37:06
bfc10a818df744e3222feb7015c1e55a,INT095E,2020-03-23T08:29:41
82f671de3c694e45a384513994d19cf5,INT098,2017-03-28T15:29:18
4f2763ac8a65c8f2b8bf410dc399b3a2,INT098,2019-09-13T11:52:09
c5237fbc617e6e3f4bcd3e14b5d82acf,INT096,2024-03-03T11:16:36
8fd48660a5b3d85c6018f47b3b3bdcd3,INT098,2019-01-06T15:52:32
90ad153674224a783491aeb5743a9089,INT095E,2024-10-26T15:14:44
2c365c7b484930fa6565f03ca82e5167,INT096,2024-02-21T16:54:57
7eb481a7a1f282db914075681d66835c,INT096,2023-11-10T16:28:55
60e793691b721766efaaaaa41c972fd8,INT095E,2021-01-01T11:31:23
356254b4a5b725293885bfaddda41fda,INT096,2026-02-03T15:28:05
2f4eec012b6dd82547165200931df9dc,INT098,2022-03-28T17:34:45
78bb191fb8e50613a17cbc2936cc772e,INT095E,2023-01-28T09:28:19
b8745b33dd7e3a159573e677ff3c7265,INT098,2022-03-20T12:30:50
422a058f1dcd0a5f244ac273a67e65fb,INT095E,2021-04-29T15:38:50
13790102dbd13e05789183482598bd5a,INT095E,2025-05-01T12:09:54
d2898333250e936dd6409b0406a4778a,INT096,2021-01-13T10:55:40
81490cbbf3c14068a57aa5b0f8f2def2,INT096,2017-11-13T13:47:54
