Employee_ID,Transaction_WID,Transaction_Effective_Date,Transaction_Entry_Date,Transaction_Type,Organization_ID,Organization_Type,Sequence_Number,Worker_Workday_ID
30020924,340ffa0a85ec0b479b25b949645767dd,2026-03-24,2026-03-24 08:07:26,Hire,CC_0001,Cost_Center,1,50970ddf59a2a2baf15420b344a8f0ca
30020924,340ffa0a85ec0b479b25b949645767dd,2026-03-24,2026-03-24 08:07:26,Hire,WARLAB_HOLD,Company,1,50970ddf59a2a2baf15420b344a8f0ca
30020924,340ffa0a85ec0b479b25b949645767dd,2026-03-24,2026-03-24 08:07:26,Hire,DEPT_LEGAL_086,Supervisory,1,50970ddf59a2a2baf15420b344a8f0ca
30020925,33d4361abc643aed6dc631599ba7d13d,2026-03-24,2026-03-24 10:42:00,Hire,CC_0001,Cost_Center,1,4adf4aec5aa475ad77e26cb6e6804a9b
30020925,33d4361abc643aed6dc631599ba7d13d,2026-03-24,2026-03-24 10:42:00,Hire,WARLAB_HOLD,Company,1,4adf4aec5aa475ad77e26cb6e6804a9b
30020925,33d4361abc643aed6dc631599ba7d13d,2026-03-24,2026-03-24 10:42:00,Hire,DEPT_FIN_006,Supervisory,1,4adf4aec5aa475ad77e26cb6e6804a9b
30020925,33d4361abc643aed6dc631599ba7d13d,2026-03-24,2026-03-24 10:42:00,Hire,MORG_ESG,Matrix_Organization,1,4adf4aec5aa475ad77e26cb6e6804a9b
30020926,44ef31d052a80ee33bdd29f31a3abe33,2026-03-24,2026-03-24 10:26:18,Hire,CC_0001,Cost_Center,1,f32ff46cc2209309c95e32172ab5cc11
30020926,44ef31d052a80ee33bdd29f31a3abe33,2026-03-24,2026-03-24 10:26:18,Hire,WARLAB_HOLD,Company,1,f32ff46cc2209309c95e32172ab5cc11
30020926,44ef31d052a80ee33bdd29f31a3abe33,2026-03-24,2026-03-24 10:26:18,Hire,DEPT_INVEST_125,Supervisory,1,f32ff46cc2209309c95e32172ab5cc11
30002100,12b111f228d80e3220678fc811e05d83,2026-03-24,2026-03-24 15:56:09,Change Job,CC_0001,Cost_Center,8,3529f99691921f647e490a7d5d09d9e8
30002100,12b111f228d80e3220678fc811e05d83,2026-03-24,2026-03-24 15:56:09,Change Job,WARLAB_HOLD,Company,8,3529f99691921f647e490a7d5d09d9e8
30002100,12b111f228d80e3220678fc811e05d83,2026-03-24,2026-03-24 15:56:09,Change Job,DEPT_TECH_034,Supervisory,8,3529f99691921f647e490a7d5d09d9e8
30007520,3fe455c0267cd6ca915c22b79a9e31a1,2026-03-24,2026-03-24 14:16:15,Change Job,CC_0001,Cost_Center,11,ec1c8cb51d894a5b2c82e375fa792991
30007520,3fe455c0267cd6ca915c22b79a9e31a1,2026-03-24,2026-03-24 14:16:15,Change Job,WARLAB_HOLD,Company,11,ec1c8cb51d894a5b2c82e375fa792991
30007520,3fe455c0267cd6ca915c22b79a9e31a1,2026-03-24,2026-03-24 14:16:15,Change Job,DEPT_LEGAL_088,Supervisory,11,ec1c8cb51d894a5b2c82e375fa792991
30017725,b9358b9082a971e2be1af3924182fe86,2026-03-05,2026-03-24 10:23:20,Data Change,CC_0001,Cost_Center,5,ce2026d540f6aaab00df09dd46c0981c
30017725,b9358b9082a971e2be1af3924182fe86,2026-03-05,2026-03-24 10:23:20,Data Change,WARLAB_HOLD,Company,5,ce2026d540f6aaab00df09dd46c0981c
30017725,b9358b9082a971e2be1af3924182fe86,2026-03-05,2026-03-24 10:23:20,Data Change,DEPT_SALES_095,Supervisory,5,ce2026d540f6aaab00df09dd46c0981c
