Cost_Center_ID,Cost_Center_WID,Cost_Center_Code,Cost_Center_Name,Hierarchy,Subtype
CC_0001,fa3333ee44492b5d21d63070713c0640,0001,Office of the CEO - General,WARLab > Office of the CEO > General,Cost Center
CC_0002,1c5e4547f792e414e448b9de870a28d9,0002,Office of the CEO - Projects,WARLab > Office of the CEO > Projects,Cost Center
CC_0003,bf2bd80a562c0f6251a7201b8cdf052a,0003,Office of the CEO - Operations,WARLab > Office of the CEO > Operations,Cost Center
CC_0004,4e731c033ae9c171b555a27c15501cdf,0004,Office of the CEO - Support,WARLab > Office of the CEO > Support,Cost Center
CC_0005,1776fe18d79fdcd7245e2bb0f57607c7,0005,Finance - General,WARLab > Finance > General,Cost Center
CC_0006,173a46548803f7bf497fadcb66756c41,0006,Finance - Projects,WARLab > Finance > Projects,Cost Center
CC_0007,6a06abbd1f0db6b7be6a7718b54b8a2f,0007,Finance - Operations,WARLab > Finance > Operations,Cost Center
CC_0008,4a5bfb383704c4759491e729e2fd98d3,0008,Finance - Support,WARLab > Finance > Support,Cost Center
CC_0009,55559028c433a7e0a491ce769d9636b0,0009,Finance - Strategy,WARLab > Finance > Strategy,Cost Center
CC_0010,82126b5cfbee10cf5d24f098bef8f9d3,0010,Finance - Analytics,WARLab > Finance > Analytics,Cost Center
CC_0011,8cbd397206c181fa5ca679b56bbe853b,0011,Finance - Delivery,WARLab > Finance > Delivery,Cost Center
CC_0012,6f0c53e5911dcb2583b680162531ef36,0012,Finance - Infrastructure,WARLab > Finance > Infrastructure,Cost Center
CC_0013,9924632cfe02c5d0f7c365faa50145f6,0013,Finance - Advisory,WARLab > Finance > Advisory,Cost Center
CC_0014,a0e4035f75ef0ae7b8372dc68563e99d,0014,Finance - Compliance,WARLab > Finance > Compliance,Cost Center
CC_0015,31f0b2ed4c2b84d18ee8e9a528ca3aaa,0015,Finance - Trading,WARLab > Finance > Trading,Cost Center
